MP,EDate,ETime,EPrice,XDate,XTime,XPrice,MAE,MAE_P,MAE_bn,MFE,MFE_P,MFE_Bn,FTE,ETD,MAEFE,MAEFE_p,MAEfe_nB,TradeRange,maxL2H,maxH2L,nBars,TradeN,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380
1,01/19/2011,08:38,1131.5,01/19/2011,09:42,1138.5,-350,0,64,75,0,1,-350,-425,-262.5,0,64,0,0,0,65,99,25,12.5,0,-25,-25,-25,-50,-37.5,-12.5,-25,-50,-62.5,-50,-50,-125,-100,-87.5,-62.5,-75,-112.5,-150,-100,-100,-100,-112.5,-100,-100,-112.5,-87.5,-62.5,-50,-37.5,-62.5,-62.5,-100,-62.5,-50,-62.5,-75,-62.5,-75,-100,-100,-100,-75,-100,-175,-212.5,-212.5,-200,-262.5,-237.5,-237.5,-237.5,-250,-225,-237.5,-275,-250,-250,-300,-287.5,-287.5,-325,-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,01/20/2011,08:32,1117,01/20/2011,10:34,1124,-350,0,121,175,0,32,-350,-525,-162.5,0,121,0,0,0,123,100,0,12.5,-25,-100,-112.5,-100,-175,-137.5,-112.5,-87.5,-87.5,-75,-75,-37.5,-25,-12.5,-12.5,37.5,12.5,25,25,25,50,37.5,0,12.5,25,37.5,87.5,87.5,150,162.5,112.5,112.5,75,75,75,25,25,25,12.5,25,62.5,50,62.5,25,0,-37.5,-112.5,-87.5,-87.5,-150,-125,-125,-175,-112.5,-100,-87.5,-100,-125,-100,-50,-87.5,-75,-87.5,-100,-62.5,-62.5,-150,-150,-150,-150,-100,-100,-150,-112.5,-175,-137.5,-162.5,-200,-200,-225,-250,-275,-262.5,-300,-287.5,-287.5,-275,-275,-300,-275,-262.5,-237.5,-225,-200,-212.5,-212.5,-237.5,-237.5,-225,-225,-187.5,-187.5,-212.5,-200,-237.5,-225,-212.5,-200,-237.5,-250,-225,-225,-250,-262.5,-250,-250,-275,-287.5,-312.5,-325,-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,01/25/2011,08:41,1150.75,01/25/2011,09:01,1144.75,-12.5,0,1,300,0,20,300,0,0,0,1,0,0,0,21,101,12.5,37.5,50,62.5,50,37.5,25,87.5,100,137.5,150,150,137.5,150,150,137.5,137.5,162.5,162.5,212.5,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,01/27/2011,08:38,1160.5,01/27/2011,09:01,1154.5,0,0,1,300,0,18,300,0,0,0,1,0,0,0,24,102,0,25,50,50,100,112.5,137.5,137.5,125,87.5,100,112.5,137.5,137.5,137.5,175,162.5,200,187.5,162.5,200,200,200,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,02/09/2011,10:19,1172,02/09/2011,14:51,1172.5,-237.5,0,214,112.5,0,126,-25,-137.5,-125,0,214,0,0,0,273,103,12.5,25,37.5,-25,-25,-50,-50,-75,-87.5,-37.5,-87.5,-62.5,-37.5,-50,-25,-25,-37.5,-37.5,-37.5,-62.5,-50,-37.5,-25,0,-12.5,-25,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,0,0,-12.5,-50,-50,-62.5,-75,-87.5,-87.5,-87.5,-112.5,-100,-62.5,-75,-37.5,-37.5,-25,-37.5,-50,-37.5,-50,-37.5,-37.5,-50,-37.5,-75,-87.5,-75,-100,-100,-75,-62.5,-62.5,-87.5,-50,-50,-37.5,-25,-12.5,-37.5,-12.5,-12.5,12.5,12.5,12.5,37.5,0,12.5,12.5,12.5,37.5,12.5,25,25,37.5,37.5,12.5,37.5,37.5,25,25,25,25,37.5,37.5,12.5,0,-25,-25,-37.5,0,12.5,12.5,25,0,25,37.5,75,50,50,62.5,50,50,62.5,75,75,75,87.5,100,87.5,100,100,87.5,100,112.5,100,100,100,87.5,112.5,112.5,100,87.5,87.5,87.5,100,87.5,87.5,87.5,75,75,62.5,62.5,62.5,37.5,37.5,50,37.5,50,37.5,37.5,62.5,37.5,25,37.5,25,37.5,0,-25,-25,-50,-37.5,-37.5,-37.5,-50,-37.5,-50,-62.5,-62.5,-37.5,-50,-37.5,-37.5,-50,-62.5,-62.5,-75,-87.5,-100,-75,-62.5,-87.5,-125,-150,-125,-137.5,-75,-75,-62.5,-87.5,-87.5,-100,-75,-87.5,-112.5,-125,-150,-187.5,-187.5,-187.5,-162.5,-125,-137.5,-137.5,-175,-175,-162.5,-175,-175,-225,-175,-162.5,-162.5,-175,-137.5,-137.5,-137.5,-162.5,-137.5,-112.5,-100,-100,-100,-125,-100,-100,-112.5,-125,-87.5,-50,-37.5,-50,-50,-50,-62.5,-75,-87.5,-75,-50,-37.5,-50,-50,-50,-50,-50,-37.5,-12.5,-12.5,-12.5,-50,-50,-37.5,-50,-37.5,-37.5,-12.5,-25,-50,-37.5,-50,-50,-25,-12.5,12.5,0,-37.5,-37.5,-37.5,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,02/14/2011,09:47,1193.25,02/14/2011,14:47,1187.25,-12.5,0,3,300,0,299,300,0,0,0,1,0,0,0,301,104,25,12.5,0,12.5,12.5,37.5,50,50,25,37.5,12.5,12.5,25,62.5,37.5,62.5,37.5,12.5,62.5,50,75,75,75,75,75,62.5,100,112.5,87.5,87.5,100,100,100,125,125,112.5,125,137.5,137.5,125,112.5,112.5,112.5,112.5,100,100,100,125,125,137.5,150,112.5,125,112.5,125,125,137.5,125,125,137.5,137.5,125,112.5,112.5,112.5,112.5,112.5,125,112.5,125,150,150,137.5,150,150,162.5,162.5,162.5,150,150,150,137.5,150,137.5,137.5,150,150,162.5,162.5,162.5,150,175,187.5,187.5,187.5,200,200,212.5,212.5,212.5,212.5,200,200,187.5,212.5,187.5,200,212.5,200,200,200,200,200,200,187.5,200,225,225,225,212.5,200,200,187.5,200,200,187.5,187.5,200,187.5,200,212.5,212.5,212.5,200,200,187.5,212.5,200,200,175,162.5,162.5,175,162.5,200,212.5,212.5,200,200,200,200,200,200,212.5,212.5,212.5,225,212.5,225,225,237.5,212.5,200,200,212.5,212.5,212.5,200,212.5,212.5,225,212.5,225,225,212.5,212.5,187.5,187.5,187.5,200,175,200,200,200,212.5,200,212.5,212.5,212.5,212.5,200,200,200,187.5,175,187.5,187.5,212.5,212.5,187.5,200,200,200,200,212.5,212.5,187.5,175,175,175,187.5,187.5,187.5,187.5,200,200,187.5,187.5,187.5,175,175,175,175,212.5,212.5,200,187.5,187.5,187.5,187.5,187.5,212.5,200,187.5,200,225,200,212.5,212.5,225,250,250,250,237.5,250,237.5,250,250,250,250,250,237.5,237.5,262.5,250,262.5,275,262.5,250,250,250,262.5,237.5,200,212.5,225,225,225,237.5,250,237.5,237.5,237.5,250,237.5,237.5,250,250,262.5,250,250,225,225,200,212.5,225,225,237.5,237.5,237.5,237.5,237.5,237.5,212.5,212.5,225,225,275,275,275,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,02/15/2011,08:38,1181.5,02/15/2011,14:51,1181.25,-112.5,0,53,175,0,24,12.5,-162.5,0,0,1,0,0,0,374,105,25,25,0,50,75,75,100,100,125,137.5,137.5,125,112.5,112.5,100,112.5,150,125,125,137.5,162.5,125,137.5,162.5,137.5,100,125,62.5,50,50,25,25,12.5,37.5,-12.5,-62.5,-25,0,0,25,-12.5,-12.5,-25,-50,-37.5,-37.5,-12.5,-62.5,-75,-50,-87.5,-87.5,-100,-87.5,-62.5,-62.5,-62.5,-37.5,-37.5,-25,-25,-25,0,12.5,-25,-12.5,-25,-12.5,0,-12.5,-25,-25,-25,-25,-25,12.5,25,37.5,50,50,50,25,12.5,37.5,25,12.5,12.5,25,87.5,75,87.5,100,87.5,112.5,100,100,100,75,100,75,75,75,75,87.5,87.5,87.5,100,100,100,100,100,100,100,112.5,100,87.5,100,100,100,100,100,87.5,87.5,75,87.5,75,62.5,75,50,37.5,25,25,25,37.5,50,25,50,50,62.5,62.5,25,25,25,25,0,0,12.5,50,37.5,25,50,62.5,75,50,75,62.5,62.5,75,87.5,75,62.5,62.5,75,87.5,87.5,75,75,75,112.5,112.5,100,112.5,125,112.5,125,125,112.5,125,150,125,137.5,150,150,150,150,150,150,137.5,150,137.5,137.5,137.5,150,125,125,125,112.5,100,100,100,112.5,112.5,100,87.5,100,100,87.5,100,87.5,87.5,100,87.5,87.5,87.5,112.5,112.5,125,112.5,112.5,100,100,87.5,75,75,75,75,75,87.5,87.5,87.5,100,75,87.5,75,87.5,75,112.5,100,112.5,112.5,112.5,112.5,112.5,112.5,100,100,100,100,125,137.5,137.5,137.5,125,125,125,112.5,100,62.5,50,50,62.5,62.5,75,62.5,50,25,25,12.5,-12.5,-12.5,0,0,0,12.5,12.5,12.5,-12.5,-37.5,-25,-25,0,0,12.5,-12.5,-12.5,-25,-37.5,-62.5,-50,-75,-75,-100,-87.5,-75,-62.5,-50,-50,-37.5,-50,-25,-25,-37.5,-50,-25,-25,-25,0,0,0,0,-12.5,0,0,-12.5,12.5,25,25,25,37.5,25,25,25,12.5,12.5,37.5,25,37.5,62.5,62.5,62.5,62.5,50,50,37.5,50,62.5,62.5,75,62.5,50,37.5,50,37.5,50,12.5,0,25,0,0,-12.5,37.5,25,0,37.5,50,12.5,25,-12.5,-25,-50,-12.5,-25,0,0,-25,-25,-25,12.5,37.5,25,12.5,12.5,25,12.5,,,,,,
1,02/17/2011,08:37,1197.5,02/17/2011,10:15,1191.5,0,0,1,300,0,98,300,0,0,0,1,0,0,0,99,106,25,37.5,50,87.5,37.5,75,87.5,62.5,62.5,62.5,112.5,125,125,100,112.5,100,112.5,125,112.5,112.5,112.5,125,125,112.5,175,125,175,187.5,237.5,187.5,200,162.5,162.5,125,125,137.5,112.5,112.5,137.5,112.5,87.5,100,87.5,112.5,150,162.5,162.5,187.5,187.5,212.5,212.5,175,187.5,200,162.5,187.5,200,200,200,225,212.5,212.5,187.5,187.5,187.5,150,175,187.5,200,200,200,212.5,212.5,225,225,200,175,200,225,225,200,175,162.5,200,200,200,212.5,225,212.5,212.5,212.5,225,212.5,212.5,200,200,250,287.5,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,02/23/2011,08:32,1154.5,02/23/2011,11:03,1161.5,-350,0,148,225,0,14,-350,-575,-112.5,0,148,0,0,0,152,107,12.5,25,100,125,137.5,150,150,162.5,137.5,137.5,187.5,187.5,200,175,137.5,87.5,0,-12.5,-12.5,0,-37.5,25,-12.5,0,-25,-75,-25,-62.5,-25,12.5,-62.5,-25,0,12.5,-37.5,-12.5,-50,-137.5,-150,-187.5,-187.5,-125,-125,-125,-75,-62.5,-62.5,-87.5,-75,-87.5,-50,-12.5,62.5,50,0,0,37.5,37.5,25,62.5,87.5,37.5,25,-25,-37.5,-12.5,-25,-87.5,-75,-125,-125,-137.5,-137.5,-175,-112.5,-137.5,-137.5,-125,-137.5,-100,-87.5,-37.5,-12.5,-37.5,-12.5,12.5,12.5,25,25,0,0,-37.5,-25,-25,-25,0,25,25,50,50,50,25,12.5,-25,-25,0,-12.5,-37.5,-62.5,-50,-25,-75,-25,-25,-12.5,-25,-50,-100,-75,-162.5,-175,-225,-175,-187.5,-162.5,-212.5,-212.5,-212.5,-225,-225,-262.5,-212.5,-212.5,-237.5,-275,-287.5,-262.5,-237.5,-287.5,-275,-250,-237.5,-250,-250,-275,-275,-300,-300,-312.5,-325,-337.5,-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,02/24/2011,08:33,1171.75,02/24/2011,09:19,1165.75,-25,0,2,300,0,16,300,0,0,0,1,0,0,0,47,108,0,12.5,25,75,62.5,125,137.5,150,87.5,112.5,175,187.5,225,225,237.5,225,162.5,150,112.5,125,125,125,137.5,125,125,175,200,212.5,175,162.5,87.5,50,75,87.5,137.5,200,225,250,225,200,200,200,212.5,175,225,250,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,03/04/2011,08:36,1170.75,03/04/2011,09:15,1177.75,-350,0,39,87.5,0,6,-350,-437.5,-212.5,0,39,0,0,0,40,109,12.5,-50,-25,-25,37.5,50,75,12.5,-12.5,-87.5,-62.5,0,-25,12.5,0,-50,-50,-37.5,-37.5,-12.5,-50,-12.5,0,-12.5,-12.5,25,0,12.5,-37.5,-75,-112.5,-137.5,-175,-212.5,-237.5,-262.5,-225,-262.5,-275,-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,03/09/2011,08:37,1186,03/09/2011,11:03,1180,-300,0,85,300,0,146,300,0,-187.5,0,6,0,0,0,147,110,25,-75,-87.5,-112.5,-150,-212.5,-162.5,-150,-150,-162.5,-162.5,-75,-100,-62.5,-87.5,-50,-25,-25,-62.5,-62.5,-75,-62.5,-75,-87.5,-87.5,-87.5,-100,-200,-137.5,-62.5,-75,-25,-25,-25,-75,-62.5,-37.5,-25,-100,-37.5,-25,-25,37.5,37.5,50,87.5,87.5,87.5,162.5,150,187.5,187.5,187.5,175,200,150,162.5,125,162.5,150,112.5,125,137.5,125,62.5,100,87.5,100,75,0,25,37.5,37.5,37.5,-62.5,-62.5,-100,-137.5,-137.5,-175,-137.5,-225,-175,-200,-262.5,-250,-212.5,-187.5,-212.5,-187.5,-187.5,-150,-200,-200,-137.5,-125,-137.5,-162.5,-137.5,-100,-87.5,-100,-112.5,-75,-62.5,-62.5,-100,-125,-75,-37.5,-50,-87.5,-75,-100,-112.5,-162.5,-175,-175,-125,-87.5,-62.5,-25,-25,0,-25,-12.5,12.5,-37.5,-25,12.5,0,12.5,0,-12.5,0,12.5,0,-37.5,25,62.5,100,125,137.5,112.5,162.5,262.5,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,03/14/2011,09:32,1136.75,03/14/2011,10:31,1143.75,-350,0,48,100,0,23,-350,-450,-237.5,0,48,0,0,0,60,111,12.5,25,-37.5,-87.5,-62.5,-87.5,-50,-100,-25,-37.5,-25,0,-12.5,-12.5,0,0,12.5,0,62.5,37.5,62.5,50,50,0,0,0,-75,-75,-125,-125,-137.5,-150,-100,-37.5,-50,-62.5,-75,-150,-150,-212.5,-262.5,-262.5,-237.5,-237.5,-262.5,-275,-275,-337.5,-287.5,-275,-250,-212.5,-225,-237.5,-225,-250,-250,-262.5,-312.5,-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,03/16/2011,08:40,1118.25,03/16/2011,10:02,1125.25,-350,0,82,275,0,63,-350,-625,-125,0,2,0,0,0,83,112,-25,-112.5,-37.5,-12.5,0,37.5,12.5,-12.5,-112.5,-50,-75,12.5,25,62.5,100,100,75,75,37.5,12.5,37.5,87.5,112.5,87.5,137.5,112.5,100,112.5,150,162.5,125,137.5,162.5,137.5,112.5,50,50,37.5,62.5,100,112.5,75,62.5,50,62.5,100,87.5,50,100,125,125,162.5,137.5,125,100,125,125,100,137.5,175,200,212.5,250,225,212.5,175,187.5,187.5,237.5,225,237.5,212.5,212.5,187.5,175,150,87.5,75,50,0,-100,-200,-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,03/31/2011,10:36,1186.5,03/31/2011,14:51,1184.25,0,0,1,262.5,0,127,112.5,-150,0,0,1,0,0,0,256,113,12.5,37.5,62.5,50,87.5,62.5,62.5,75,62.5,75,75,62.5,87.5,100,100,100,112.5,112.5,87.5,87.5,75,75,62.5,87.5,87.5,100,112.5,87.5,100,87.5,100,100,100,100,112.5,112.5,75,100,87.5,87.5,87.5,87.5,87.5,87.5,125,112.5,125,137.5,150,162.5,162.5,175,187.5,175,187.5,187.5,212.5,200,187.5,187.5,162.5,175,162.5,175,162.5,162.5,162.5,162.5,162.5,200,175,187.5,175,187.5,175,187.5,187.5,175,175,187.5,225,212.5,225,200,225,237.5,225,225,212.5,225,212.5,200,200,200,200,212.5,200,200,200,200,200,200,212.5,212.5,200,200,212.5,212.5,212.5,225,212.5,212.5,212.5,212.5,200,212.5,212.5,212.5,212.5,225,212.5,225,225,225,237.5,250,237.5,237.5,237.5,225,237.5,225,237.5,225,225,225,225,225,225,212.5,212.5,212.5,200,200,187.5,187.5,200,212.5,212.5,200,200,187.5,187.5,187.5,212.5,225,212.5,225,225,225,237.5,250,262.5,212.5,212.5,212.5,225,212.5,200,187.5,187.5,200,187.5,162.5,162.5,162.5,150,162.5,162.5,150,150,162.5,150,175,175,187.5,175,175,200,175,187.5,212.5,212.5,200,212.5,200,200,200,200,200,212.5,200,200,225,212.5,187.5,187.5,187.5,187.5,187.5,212.5,212.5,212.5,200,175,150,150,162.5,162.5,187.5,187.5,187.5,162.5,175,175,187.5,200,187.5,175,175,162.5,162.5,175,175,175,175,150,137.5,137.5,125,125,125,125,150,175,175,187.5,175,187.5,175,75,62.5,87.5,100,100,112.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,05/03/2011,08:43,1201.25,05/03/2011,13:12,1208.25,-350,0,269,175,0,19,-350,-525,-137.5,0,269,0,0,0,270,114,25,-37.5,-25,-50,-25,-25,-12.5,12.5,0,12.5,0,62.5,62.5,75,137.5,137.5,125,112.5,175,162.5,150,150,125,162.5,112.5,100,137.5,87.5,87.5,87.5,50,62.5,87.5,125,125,137.5,112.5,87.5,75,25,25,50,25,62.5,100,100,75,50,62.5,37.5,12.5,37.5,50,-25,-50,-25,-25,-50,-75,-75,-62.5,-100,-87.5,-112.5,-87.5,-75,-62.5,-37.5,-62.5,-75,-75,-50,-62.5,-112.5,-100,-87.5,-75,-62.5,-62.5,-25,-37.5,-12.5,-12.5,-50,-75,-62.5,-75,-75,-62.5,-50,-50,-37.5,-12.5,12.5,25,37.5,12.5,25,50,75,87.5,75,62.5,50,37.5,25,37.5,50,50,75,62.5,50,87.5,75,100,112.5,100,87.5,100,112.5,150,137.5,162.5,137.5,112.5,125,112.5,100,112.5,112.5,100,100,112.5,100,112.5,125,100,100,112.5,125,150,150,125,112.5,112.5,100,100,100,125,125,137.5,112.5,100,100,100,112.5,87.5,100,87.5,62.5,75,62.5,62.5,62.5,62.5,62.5,62.5,62.5,75,62.5,75,50,50,62.5,62.5,50,50,0,0,-12.5,12.5,0,25,25,25,25,0,12.5,-12.5,-25,-25,-25,-37.5,-37.5,-62.5,-50,-50,-62.5,-62.5,-75,-50,-62.5,-75,-100,-87.5,-75,-75,-50,-25,-25,-25,-37.5,-37.5,-25,-12.5,-12.5,-12.5,-25,-25,-25,-50,-75,-62.5,-100,-112.5,-137.5,-137.5,-137.5,-187.5,-125,-137.5,-125,-112.5,-100,-87.5,-100,-112.5,-125,-112.5,-137.5,-162.5,-200,-187.5,-200,-225,-237.5,-212.5,-187.5,-212.5,-225,-187.5,-187.5,-187.5,-175,-200,-200,-212.5,-175,-187.5,-175,-212.5,-200,-200,-225,-262.5,-250,-262.5,-275,-312.5,-350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
